Lmod has detected the following error: The following module(s) are unknown:
"mpt"

Please check the spelling or version number. Also try "module spider ..."
It is also possible your cache file is out-of-date; it may help to try:
  $ module --ignore_cache load "mpt"

Also make sure that all modulefiles written in TCL start with the string
#%Module



================================
Strong Scaling Test
GRID_SIZE=40, DAYS=20
================================
--- 1 process ---
Day,Prey,Predators
0,1082824,1428
1,1264402,11902
2,1055075,78195
3,100684,82061
4,64443,16197
5,608338,8396
6,1205228,56729
7,94019,98684
8,39047,16863
9,381570,5477
10,1259474,30062
11,382515,130646
12,26698,30743
13,160004,6430
14,1274414,14820
15,922104,98668
16,35621,58009
17,79063,10305
18,914087,8257
19,1173796,64434
Time: 135.015 seconds

--- 2 processes ---
Day,Prey,Predators
0,1090565,1293
1,1245049,11386
2,1017886,74231
3,116189,80217
4,78131,16735
5,721829,10265
6,1124774,69278
7,68526,81745
8,57571,14206
9,600303,6938
10,1204906,46944
11,166963,107316
12,42802,20431
13,365441,6574
14,1244745,33775
15,309349,121337
16,34669,27228
17,237737,6662
18,1259566,23501
19,549182,122183
Time: 49.640 seconds

--- 4 processes ---
Day,Prey,Predators
0,1077579,1463
1,1191972,13302
2,936116,85583
3,37170,60126
4,76950,10551
5,890388,8120
6,1088737,56544
7,68067,90294
8,45496,15226
9,457308,5855
10,1161379,32919
11,263759,122979
12,30559,25088
13,226274,5932
14,1188496,19332
15,725498,108930
16,27681,42865
17,112717,7966
18,1131265,11210
19,1004810,74288
Time: 25.427 seconds

--- 8 processes ---
srun: warning: can't honor --ntasks-per-node set to 4 which doesn't match the requested tasks 8 with the maximum number of requested nodes 1. Ignoring --ntasks-per-node.
Day,Prey,Predators
0,1081138,1447
1,1133206,11931
2,985030,75687
3,40077,67949
4,63312,11619
5,729431,6680
6,1081544,43660
7,124101,109191
8,36328,19169
9,325169,5719
10,1113776,25172
11,507499,123719
12,27070,33134
13,149729,6786
14,1130608,13318
15,940609,85236
16,33650,59220
17,74520,10336
18,875263,7694
19,1064533,51910
Time: 13.595 seconds

