Lmod has detected the following error: The following module(s) are unknown:
"mpt"

Please check the spelling or version number. Also try "module spider ..."
It is also possible your cache file is out-of-date; it may help to try:
  $ module --ignore_cache load "mpt"

Also make sure that all modulefiles written in TCL start with the string
#%Module



================================
Weak Scaling Test
Fixed density: 10 prey/cell, 0.25 pred/cell
================================
--- 1 process, GRID=40 ---
Day,Prey,Predators
0,270840,389
1,311186,3569
2,227313,23041
3,14523,16117
4,23244,3230
5,235029,2968
6,262372,20049
7,13580,17822
8,17273,3219
9,183680,2042
10,295504,14004
11,20434,23445
12,11311,3980
13,111827,1493
14,310403,8589
15,68928,30316
16,8334,6548
17,57915,1621
18,314836,5475
19,154311,30689
Time: 22.439 seconds
--- 2 processes, GRID=80 ---
Day,Prey,Predators
0,1090565,1293
1,1245049,11386
2,1017886,74231
3,116189,80217
4,78131,16735
5,721829,10265
6,1124774,69278
7,68526,81745
8,57571,14206
9,600303,6938
10,1204906,46944
11,166963,107316
12,42802,20431
13,365441,6574
14,1244745,33775
15,309349,121337
16,34669,27228
17,237737,6662
18,1259566,23501
19,549182,122183
Time: 49.715 seconds
--- 8 processes, GRID=160 ---
Day,Prey,Predators
0,4338395,5731
1,4779149,48327
2,3900816,318674
3,152165,257328
4,281034,44053
5,3222946,30223
6,4402687,211412
7,323026,378771
8,172850,64772
9,1703195,23507
10,4657342,128184
11,1155913,490325
12,120763,103459
13,872119,24357
14,4757501,75990
15,2862695,445027
16,109883,166679
17,456024,31096
18,4650747,43427
19,4019582,301205
Time: 92.232 seconds
